Sim	Run	Time	totMass	NInd	abovemass	belowmass	BareGround	pcBare	pcBareSoil	mean_WL	mean_bres	shannon	NPFT	Cutted	Grazed	aLitter	bLitterNNonClonal	NClonal	NGenets	MSeed	NSpacer
1	1	33	87799.9	1084	23827.2	63972.6	0.2004	0.002	-60	100	0.182149	1	0	0	1730.75	5069.61	0	1084	1080	0	1084
1	1	34	99212.1	977	28567.3	70644.8	0.2008	0.0052	-60	100	0.158007	1	0	0	1509.27	4409.82	0	977	973	0	977
1	1	35	109753	876	33393	76359.6	0.2268	0.0044	-60	100	0.173337	1	0	0	1773.5	5154.88	0	876	871	0	874
1	1	36	120485	792	38327.8	82156.8	0.2112	0.0036	-60	100	0.196444	1	0	0	2176.08	5955.5	0	792	787	0	792
1	1	37	131306	713	43355.4	87951	0.1872	0.0028	-60	100	0.214256	1	0	0	2601.12	6636.11	0	713	707	0	711
1	1	38	140694	645	47532.9	93161	0.1784	0.002	-60	100	0.220653	1	0	0	3552.88	7396.03	0	645	639	0	643
1	1	39	148110	569	51548.3	96561.6	0.178	0.006	-60	100	0.234503	1	0	0	4386.05	8795.33	0	569	565	0	567
1	1	40	164441	537	58991.6	105449	0.1712	0.004	-60	100	0.233354	1	0	0	3503.97	7051.55	0	537	532	0	535
1	1	41	167468	462	61996.6	105471	0.1656	0.0036	-60	100	0.265636	1	0	0	5535.32	10745.8	0	462	457	0	460
1	1	42	180151	429	67984.2	112167	0.1592	0.0056	-60	100	0.261665	1	0	0	5420.17	9098.09	0	429	425	0	429
1	1	43	190297	388	73702.9	116594	0.1468	0.0056	-60	100	0.26685	1	0	0	5607.76	9459.82	0	388	381	0	382
1	1	44	197731	355	77864.8	119866	0.144	0.0032	-60	100	0.278539	1	0	0	6805.4	10196	0	355	351	0	355
1	1	45	208680	330	82671.5	122660	0.1304	0.0024	-60	100	0.27031	1	0	0	6446.2	9516.98	0	330	326	3348.19	324
1	1	46	221109	308	88451.4	126040	0.128	0.0028	-60	100	0.257602	1	0	0	5970.9	8699.26	0	308	303	6617.74	306
1	1	47	232049	287	93909	128412	0.1284	0.0044	-60	100	0.262192	1	0	0	5955.22	8593.35	0	287	280	9727.32	279
1	1	48	241318	265	100080	130991	0.1332	0.006	-60	100	0.264684	1	0	0	6483.05	9132.48	0	265	263	10246.6	265
1	1	49	256495	254	109170	137525	0.1264	0.004	-60	100	0.248604	1	0	0	5507.45	7277.78	0	254	253	9799.85	252
1	1	50	260707	242	117833	142874	0.1204	0.0024	-60	100	0.239214	1	0	0	4995.6	6379.97	0	242	239	0	238
1	1	51	272813	522	125791	147022	0.1152	0.002	-60	100	0.129736	1	0	0	4784.3	5823.11	0	522	516	0	227
1	1	52	277287	440	130425	146862	0.0168	0.0004	-60	100	0.141353	1	0	0	6031.03	7147.25	0	440	433	0	390
1	1	53	281128	432	134493	146635	0.0408	0	-60	100	0.13921	1	0	0	6718.78	7439.16	0	432	428	0	324
1	1	54	293240	443	142657	150583	0.0288	0.0004	-60	100	0.114907	1	0	0	4788.42	5166.23	0	443	436	0	358
1	1	55	297449	351	146955	150494	0.0292	0.0004	-60	100	0.133013	1	0	0	5248.55	5511.99	0	351	345	0	345
1	1	56	300612	308	150598	150014	0.056	0.0008	-60	100	0.137447	1	0	0	5499.37	5580.47	0	308	302	0	296
1	1	57	303474	285	154149	149325	0.062	0.0008	-60	100	0.143813	1	0	0	5394.98	5442.46	0	285	277	0	277
1	1	58	308493	274	158577	149915	0.0644	0.0004	-60	100	0.130612	1	0	0	4533.38	4455.61	0	274	263	0	260
1	1	59	222235	383	78012.2	144223	0.0668	0.0004	-60	100	0.113852	1	0	0	3623.71	6868.57	0	383	244	0	0
1	1	60	160591	870	62666.9	97924.1	0.2296	0.0028	-60	100	0.0942686	1	0	0	16105.8	26808.4	0	870	787	0	320
1	1	61	147899	829	64400.8	83498.2	0.0552	0.034	-60	100	0.108348	1	0	0	13085.9	21038.7	0	829	762	0	695
1	1	62	160836	899	75770.2	85065.5	0.0816	0.0368	-60	100	0.101281	1	0	0	6755.26	10513.5	0	899	830	0	702
1	1	63	166620	787	84001.3	82619.1	0.05	0.0284	-60	100	0.116478	1	0	0	5719.69	7695	0	787	719	0	781
1	1	64	176551	701	93795.8	82755.2	0.0868	0.0404	-60	100	0.125078	1	0	0	4038.99	5198.43	0	701	631	0	691
1	1	65	188596	630	103595	85001.9	0.1004	0.0396	-60	100	0.128149	1	0	0	2640.37	3079.29	0	630	561	0	626
1	1	66	198369	582	111661	86707.5	0.1092	0.0308	-60	100	0.122313	1	0	0	2388.26	2471.26	0	582	514	0	578
1	1	67	208395	540	118996	89399	0.1064	0.028	-60	100	0.0680173	1	0	0	2122.27	1942.16	0	540	471	0	534
1	1	68	217791	506	124756	93034.7	0.1088	0.0228	-60	100	0.0689359	1	0	0	2444.86	1808.44	0	506	436	0	496
1	1	69	221564	466	126571	94993.4	0.1084	0.0216	-60	100	0.0951698	1	0	0	4215.81	3147.1	0	466	398	0	458
1	1	70	234376	441	132346	102029	0.1044	0.02	-60	100	0.093176	1	0	0	2933.88	1999.5	0	441	371	0	433
1	1	71	243402	410	136041	107361	0.1012	0.0152	-60	100	0.117532	1	0	0	3199.67	2668.47	0	410	337	0	396
1	1	72	252773	389	139810	112962	0.1	0.0092	-60	100	0.129181	1	0	0	3366.52	2861.45	0	389	315	0	383
1	1	73	258235	371	141510	116725	0.094	0.008	-60	100	0.13573	1	0	0	4548.91	3849.8	0	371	298	0	361
1	1	74	265553	350	144474	121079	0.0892	0.0064	-60	100	0.153551	1	0	0	4660.32	4035.72	0	350	277	0	344
1	1	75	271858	333	144790	122582	0.0856	0.0052	-60	100	0.157654	1	0	0	5395.82	4668.83	0	333	260	4486.46	323
1	1	76	279318	317	145769	124909	0.0856	0.0048	-60	100	0.154781	1	0	0	5487.09	4463.95	0	317	247	8639.83	315
1	1	77	281988	302	144515	125142	0.0864	0.0044	-60	100	0.172664	1	0	0	6745.93	5318.04	0	302	232	12331.3	286
1	1	78	288585	285	146342	127142	0.0856	0.0084	-60	100	0.186623	1	0	0	6181.1	5052.61	0	285	215	15101.2	279
1	1	79	290723	268	147605	128739	0.086	0.006	-60	100	0.202793	1	0	0	6881.55	5665.51	0	268	204	14379.5	265
1	1	80	280212	251	149873	130339	0.0884	0.0072	-60	100	0.217876	1	0	0	6595.5	5678.78	0	251	192	0	248
1	1	81	283723	463	152086	131637	0.09	0.006	-60	100	0.135901	1	0	0	6292.85	5413.69	0	463	402	0	228
1	1	82	284761	432	153285	131476	0.0112	0.0064	-60	100	0.13921	1	0	0	6528.36	5793.86	0	432	369	0	394
1	1	83	292257	447	157947	134310	0.0248	0.004	-60	100	0.124353	1	0	0	4841.82	4403.08	0	447	378	0	369
1	1	84	297899	440	161480	136418	0.014	0.0032	-60	100	0.115544	1	0	0	4421.29	3958.95	0	440	370	0	397
1	1	85	286528	389	155342	131186	0.0152	0.0012	-60	100	0.130794	1	0	0	8962.36	7315.43	0	389	323	0	379
1	1	86	276357	354	150296	126061	0.0368	0.0024	-60	100	0.147395	1	0	0	10895.7	9053.11	0	354	291	0	342
1	1	87	280075	332	152629	127446	0.0532	0.004	-60	100	0.149527	1	0	0	8145.6	6648.63	0	332	266	0	316
1	1	88	288566	323	157676	130890	0.0628	0.0036	-60	100	0.141856	1	0	0	5165.38	4207.01	0	323	254	0	313
1	1	89	211122	441	79734.9	131387	0.0688	0.0032	-60	100	0.106075	1	0	0	2537.76	4218.64	0	441	238	0	0
1	2	0	789.235	2	388.433	400.802	0.9952	0.9888	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	1	1155.2	2	572.274	582.924	0.9936	0.9856	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	2	1598.02	2	808.274	789.742	0.992	0.9824	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	3	2103.16	2	1097.82	1005.34	0.9904	0.9784	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	4	2699.29	2	1447.9	1251.39	0.988	0.9744	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	5	3356.57	2	1847.66	1508.91	0.9856	0.9704	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	6	4040.83	2	2281.11	1759.72	0.9832	0.9664	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	7	4718.86	2	2723.14	1995.73	0.9808	0.9632	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	8	5363.04	2	3155.89	2207.15	0.9784	0.96	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	9	5908.32	2	3548.29	2360.02	0.9768	0.9568	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	10	6414.81	2	3898.13	2516.68	0.9744	0.9552	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	11	6828.01	2	4197.06	2630.95	0.9728	0.9528	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	12	7124.91	2	4427.98	2696.93	0.972	0.9512	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	2	13	7395.42	3	4616.83	2778.58	0.9704	0.9504	-60	100	0	1	0	0	0	0	0	3	2	0	1
1	2	14	7510.31	4	4703.51	2806.8	0.9692	0.9492	-60	100	0	1	0	0	0	0	0	4	2	0	2
1	2	15	7754.48	4	4748.49	2808.49	0.9684	0.9484	-60	100	0	1	0	0	0	0	0	4	2	197.5	4
1	2	16	7943.74	4	4823.3	2811.04	0.9676	0.9484	-60	100	0	1	0	0	0	0	0	4	2	309.4	4
1	2	17	8183.1	4	4942.43	2816.07	0.9664	0.948	-60	100	0	1	0	0	0	0	0	4	2	424.6	4
1	2	18	4558.75	3	2811.07	1434.97	0.9648	0.9476	-60	100	0.215762	1	0	0	1154.18	694.613	0	3	2	312.7	3
1	2	19	4670.37	3	2913.76	1443.91	0.9688	0.9724	-60	100	0.215762	1	0	0	577.088	347.307	0	3	2	312.7	3
1	2	20	4501.1	3	3042.66	1458.44	0.9716	0.9716	-60	100	0.215762	1	0	0	288.544	173.653	0	3	2	0	3
1	2	21	4922.92	909	3327.02	1595.9	0.9724	0.9712	-60	100	0.0010983	1	0	0	144.272	86.8267	0	909	908	0	3
1	2	22	5800.93	1191	3592.03	2208.9	0.6112	0.6112	-60	100	0.000838574	1	0	0	72.136	43.4133	0	1191	1190	0	899
1	2	23	7341.97	1321	3932.16	3409.81	0.4984	0.498	-60	100	0.000756143	1	0	0	36.068	21.7067	0	1321	1320	0	1178
1	2	24	9526.5	1366	4343.32	5183.18	0.4448	0.4448	-60	100	0.000731261	1	0	0	18.034	10.8533	0	1366	1365	0	1315
1	2	25	13927	1360	5147.92	8779.09	0.426	0.266	-60	100	0.000734484	1	0	0	9.017	5.42667	0	1360	1359	0	1360
1	2	26	19912.4	1344	6334.43	13578	0.4288	0.2168	-60	100	0	1	0	0	0	0	0	1344	1343	0	1344
1	2	27	28407.8	1329	8353.5	20054.3	0.4352	0.1168	-60	100	0.00522577	1	0	0	17.0871	61.293	0	1329	1327	0	1327
1	2	28	38901.3	1320	11186.5	27714.8	0.4368	0.0724	-60	100	0.00376646	1	0	0	17.5007	58.1379	0	1320	1318	0	1320
1	2	29	43721.3	1310	7410.19	36311.1	0.4148	0.0328	-60	100	0.00605134	1	0	0	17.8929	109.198	0	1310	1305	0	0
1	2	30	56832.2	1297	12133	44699.3	0.4508	0.018	-60	100	0.018002	1	0	0	91.509	394.882	0	1297	1292	0	1280
1	2	31	70695.4	1251	16936.6	53758.8	0.358	0.0108	-60	100	0.0355459	1	0	0	155.129	683.107	0	1251	1246	0	1249
1	2	32	82651.9	1136	21597.5	61054.4	0.2912	0.0064	-60	100	0.0914716	1	0	0	519.958	2128.4	0	1136	1131	0	1132
1	2	33	95049.2	1036	26521.5	68527.7	0.2424	0.0048	-60	100	0.121909	1	0	0	876.445	3071.45	0	1036	1031	0	1036
1	2	34	106546	932	31431.7	75114.2	0.2208	0.002	-60	100	0.148619	1	0	0	1371.31	4267.64	0	932	927	0	932
1	2	35	116892	829	36251.5	80640.8	0.2068	0.0024	-60	100	0.184273	1	0	0	1990.91	5681.43	0	829	824	0	829
1	2	36	127989	740	41444.9	86544.5	0.186	0.0016	-60	100	0.213764	1	0	0	2436.26	6514.3	0	740	735	0	740
1	2	37	135875	669	45046.8	90827.9	0.1668	0.0012	-60	100	0.222214	1	0	0	3728.48	7928.35	0	669	664	0	667
1	2	38	146102	599	49975.8	96126.1	0.1664	0.0044	-60	100	0.229404	1	0	0	3907.83	8215	0	599	595	0	599
1	2	39	157392	546	55100.4	102292	0.1608	0.0036	-60	100	0.235027	1	0	0	4281.24	8184.1	0	546	543	0	546
1	2	40	168696	495	60547.7	108149	0.1548	0.0036	-60	100	0.248943	1	0	0	4618.27	8509.66	0	495	493	0	495
1	2	41	181938	465	66514.1	115424	0.1452	0.002	-60	100	0.243218	1	0	0	4840.01	7959.41	0	465	461	0	459
1	2	42	182601	402	68357.8	114244	0.1312	0.0024	-60	100	0.26832	1	0	0	7187.78	11881.7	0	402	397	0	394
1	2	43	196026	374	75606.3	120420	0.13	0.004	-60	100	0.269601	1	0	0	6116.63	10049.4	0	374	370	0	370
1	2	44	212673	354	84205.9	128467	0.1288	0.0028	-60	100	0.258509	1	0	0	5058.08	8061.07	0	354	352	0	354
1	2	45	227450	334	90677.9	133242	0.1188	0.002	-60	100	0.257763	1	0	0	4906.71	7512.05	0	334	333	3530.03	332
1	2	46	235276	306	94593.2	133835	0.1168	0.0012	-60	100	0.264092	1	0	0	6116.87	9017.82	0	306	303	6847.19	300
1	2	47	247188	291	100511	136486	0.1128	0.0016	-60	100	0.242186	1	0	0	5768.55	8330.08	0	291	286	10191.2	281
1	2	48	259499	271	107746	140449	0.114	0.0016	-60	100	0.237306	1	0	0	5670.93	7947.47	0	271	267	11304.2	268
1	2	49	266337	249	113624	142150	0.116	0.0004	-60	100	0.256191	1	0	0	6698.2	8893.4	0	249	249	10562.9	249
1	2	50	272046	237	123582	148464	0.1032	0.0004	-60	100	0.257941	1	0	0	5053.79	6528.26	0	237	236	0	235
1	2	51	280175	471	129991	150184	0.0972	0	-60	100	0.151693	1	0	0	5493.08	6813.31	0	471	465	0	219
1	2	52	285681	391	135177	150503	0.0112	0.0004	-60	100	0.160192	1	0	0	6001.04	6999.36	0	391	384	0	355
1	2	53	287677	400	138705	148972	0.0372	0.0004	-60	100	0.15051	1	0	0	6783.75	7542.06	0	400	394	0	303
1	2	54	296184	393	145410	150774	0.022	0.0012	-60	100	0.14218	1	0	0	5364.59	5892.42	0	393	388	0	334
1	2	55	305629	328	152379	153249	0.0232	0.0008	-60	100	0.134641	1	0	0	4088.42	4317.87	0	328	321	0	316
1	2	56	310805	287	157042	153763	0.0332	0	-60	100	0.149146	1	0	0	4121.68	4131.77	0	287	278	0	279
1	2	57	303981	265	155538	148443	0.0432	0	-60	100	0.151935	1	0	0	6847.92	6636.77	0	265	258	0	255
1	2	58	310543	253	160684	149859	0.0524	0.0004	-60	100	0.150584	1	0	0	4832.83	4506.06	0	253	243	0	241
1	2	59	227008	368	80289.7	146718	0.0572	0.0012	-60	100	0.110315	1	0	0	3004.11	5444.43	0	368	232	0	0
1	2	60	152578	821	60100.1	92478.1	0.2156	0.002	-60	100	0.0990074	1	0	0	18273.7	30033.2	0	821	747	0	302
1	2	61	151036	822	65801.5	85234.1	0.0604	0.0416	-60	100	0.103208	1	0	0	11945.3	19046.1	0	822	760	0	679
1	2	62	162318	883	76525.6	85792.6	0.08	0.0352	-60	100	0.100417	1	0	0	6452.3	10007.8	0	883	820	0	692
1	2	63	171768	773	86725	85043	0.0468	0.0296	-60	100	0.110379	1	0	0	4585.56	6532.54	0	773	712	0	771
1	2	64	180319	656	95642.4	84676.9	0.0744	0.0352	-60	100	0.122126	1	0	0	4143.81	4776.67	0	656	598	0	654
1	2	65	192694	593	105914	86779.8	0.09	0.0388	-60	100	0.124854	1	0	0	2573.61	2864.69	0	593	533	0	587
1	2	66	206047	528	115899	90147.9	0.0972	0.0328	-60	100	0.123739	1	0	0	1317.93	1432.27	0	528	464	0	520
1	2	67	212931	496	121509	91422.6	0.0972	0.0272	-60	100	0.0603943	1	0	0	2223.23	1997.52	0	496	429	0	482
1	2	68	219250	466	126181	93068.9	0.1012	0.0204	-60	100	0.0707843	1	0	0	2860.57	2653.68	0	466	399	0	458
1	2	69	225310	438	129777	95532.6	0.0992	0.0152	-60	100	0.0818225	1	0	0	3516.4	3061.53	0	438	366	0	420
1	2	70	230353	407	131584	98769.2	0.0976	0.0132	-60	100	0.106615	1	0	0	4522.34	3678.1	0	407	336	0	399
1	2	71	239292	380	134957	104335	0.0984	0.0136	-60	100	0.133217	1	0	0	4331.24	3353.4	0	380	302	0	362
1	2	72	246177	360	137318	108858	0.0968	0.0108	-60	100	0.143899	1	0	0	4745.75	3668.52	0	360	281	0	348
1	2	73	248491	330	137432	111059	0.0932	0.01	-60	100	0.173167	1	0	0	6174.21	4923.25	0	330	254	0	326
1	2	74	257282	318	141465	115817	0.0884	0.0068	-60	100	0.169717	1	0	0	5002.62	4100.64	0	318	241	0	308
1	2	75	253191	304	135866	112942	0.0852	0.0048	-60	100	0.157828	1	0	0	8391.63	6473.25	0	304	233	4383.87	298
1	2	76	265018	290	139926	116625	0.0904	0.0072	-60	100	0.163363	1	0	0	5552.43	4316.78	0	290	218	8466.23	282
1	2	77	271246	277	141287	117899	0.0932	0.0056	-60	100	0.178066	1	0	0	5559.6	4438.66	0	277	204	12060.5	263
1	2	78	286151	271	147741	122883	0.094	0.0052	-60	100	0.175277	1	0	0	3225.89	2722.33	0	271	196	15526.6	264
1	2	79	293820	257	152377	126289	0.0964	0.0048	-60	100	0.174111	1	0	0	3633.49	3259.81	0	257	183	15152.9	251
1	2	80	283445	246	155150	128294	0.0956	0.0028	-60	100	0.167065	1	0	0	4685.53	4016.04	0	246	176	0	244
1	2	81	283823	464	155364	128459	0.09	0.0024	-60	100	0.104696	1	0	0	6254.52	5092.29	0	464	392	0	227
1	2	82	280794	415	153603	127191	0.0064	0.0008	-60	100	0.10989	1	0	0	7726.89	6212.61	0	415	342	0	387
1	2	83	279473	434	152685	126788	0.0244	0.0028	-60	100	0.109074	1	0	0	8017.92	6247.46	0	434	361	0	357
1	2	84	286979	438	156638	130341	0.016	0.0024	-60	100	0.112914	1	0	0	5667.14	4204.44	0	438	366	0	392
1	2	85	288242	387	157376	130866	0.018	0.0024	-60	100	0.131325	1	0	0	5959.04	4624	0	387	313	0	375
1	2	86	290803	361	158817	131986	0.0344	0.002	-60	100	0.128369	1	0	0	5672.81	4356.72	0	361	288	0	351
1	2	87	294413	354	161019	133394	0.0456	0.0036	-60	100	0.124998	1	0	0	5174.97	4014.22	0	354	276	0	338
1	2	88	284695	326	156210	128486	0.0532	0.0044	-60	100	0.14268	1	0	0	8379.43	6862.92	0	326	252	0	314
1	2	89	204113	450	77632.8	126480	0.0596	0.0052	-60	100	0.105855	1	0	0	4057.74	6829.2	0	450	237	0	0
1	3	0	789.235	2	388.433	400.802	0.9952	0.9888	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	1	1155.2	2	572.274	582.924	0.9936	0.9856	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	2	1598.02	2	808.274	789.742	0.992	0.9824	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	3	2103.16	2	1097.82	1005.34	0.9904	0.9784	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	4	2699.29	2	1447.9	1251.39	0.988	0.9744	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	5	3356.57	2	1847.66	1508.91	0.9856	0.9704	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	6	4040.83	2	2281.11	1759.72	0.9832	0.9664	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	7	4718.86	2	2723.14	1995.73	0.9808	0.9632	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	3	8	5363.3	3	3156.02	2207.28	0.9784	0.96	-60	100	0	1	0	0	0	0	0	3	2	0	1
1	3	9	5671.82	3	3387.49	2284.32	0.9764	0.9564	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	3	10	2771.59	2	1666.19	1105.4	0.9744	0.9556	-60	100	0.27031	1	0	0	974.533	629.17	0	2	1	0	2
1	3	11	2837.92	2	1731.05	1106.86	0.9784	0.978	-60	100	0.27031	1	0	0	487.266	314.585	0	2	1	0	2
1	3	12	2937.14	2	1826.71	1110.43	0.9804	0.9776	-60	100	0.27031	1	0	0	243.633	157.293	0	2	1	0	2
1	3	13	3076.97	2	1951.23	1125.74	0.9816	0.9776	-60	100	0.27031	1	0	0	121.817	78.6463	0	2	1	0	2
1	3	14	3270.11	3	2106.68	1163.43	0.9816	0.9772	-60	100	0.215762	1	0	0	60.9083	39.3231	0	3	1	0	1
1	3	15	3525.32	3	2241.45	1176.95	0.9808	0.976	-60	100	0.215762	1	0	0	30.4542	19.6616	0	3	1	106.926	3
1	3	16	3765.89	3	2380.78	1200.93	0.98	0.9752	-60	100	0.215762	1	0	0	15.2271	9.83079	0	3	1	184.182	3
1	3	17	4015.44	3	2546.5	1238.79	0.9792	0.9748	-60	100	0.215762	1	0	0	7.61354	4.91539	0	3	1	230.148	3
1	3	18	4323.16	3	2707.64	1301.28	0.978	0.9732	-60	100	0	1	0	0	0	0	0	3	1	314.243	3
1	3	19	4660.55	3	2916.11	1430.19	0.9772	0.9724	-60	100	0	1	0	0	0	0	0	3	1	314.243	3
1	3	20	4779.88	3	3165.27	1614.61	0.9756	0.97	-60	100	0	1	0	0	0	0	0	3	1	0	3
1	3	21	5554.62	891	3578.19	1976.43	0.9744	0.9672	-60	100	0	1	0	0	0	0	0	891	889	0	3
1	3	22	6801.61	1216	4002.36	2799.24	0.6184	0.616	-60	100	0	1	0	0	0	0	0	1216	1214	0	884
1	3	23	8665.42	1329	4480.15	4185.27	0.4872	0.4844	-60	100	0	1	0	0	0	0	0	1329	1327	0	1206
1	3	24	11104.7	1374	5028.25	6076.43	0.4404	0.4372	-60	100	0	1	0	0	0	0	0	1374	1372	0	1320
1	3	25	15599.5	1365	5927.23	9672.24	0.4216	0.2752	-60	100	0	1	0	0	0	0	0	1365	1363	0	1365
1	3	26	21646.7	1351	7176.23	14470.5	0.4248	0.2244	-60	100	0	1	0	0	0	0	0	1351	1349	0	1351
1	3	27	30083	1344	9163.36	20919.6	0.43	0.1332	-60	100	0.00296295	1	0	0	9.31212	34.4289	0	1344	1342	0	1344
1	3	28	40422.9	1332	11967.9	28455	0.4304	0.0776	-60	100	0.00521409	1	0	0	23.0245	76.217	0	1332	1330	0	1332
1	3	29	42867.2	1321	6926	35941.2	0.4104	0.04	-60	100	0.00525717	1	0	0	436.541	611.563	0	1321	1319	0	0
1	3	30	56087.9	1318	11633.6	44454.3	0.4476	0.0228	-60	100	0.0170034	1	0	0	265.002	572.176	0	1318	1316	0	1296
1	3	31	69612.6	1277	16261.3	53351.3	0.3576	0.012	-60	100	0.0334533	1	0	0	246.37	798.92	0	1277	1275	0	1267
1	3	32	80768.4	1153	20481.1	60287.3	0.294	0.006	-60	100	0.0941252	1	0	0	657.121	2328.28	0	1153	1152	0	1149
