Sim	Run	Time	Inds	seeds	shootmass	rootmass	PFT
6	4	29	70	1	0.0088	406.998	Anthxnto
6	4	59	1022	125	0.16	5689.36	Anthxnto
6	4	89	1826	2063	0.8492	11844	Anthxnto
6	5	29	83	1	0.0072	456.16	Anthxnto
6	5	59	1035	134	0.1708	5818.57	Anthxnto
6	5	89	1889	2004	0.8516	12002.5	Anthxnto
7	1	29	168	3	0.0092	1801.95	Artmsmrt
7	1	59	1555	3539	0.4068	30652.1	Artmsmrt
7	1	89	1253	6470	0.8198	44351.4	Artmsmrt
7	2	29	83	2	0.0052	942.38	Artmsmrt
7	2	59	1571	1421	0.2212	19033.5	Artmsmrt
7	2	89	1264	5763	0.7966	42619	Artmsmrt
7	3	29	87	4	0.004	695.934	Artmsmrt
7	3	59	1579	1829	0.258	20847.3	Artmsmrt
7	3	89	1240	6060	0.803	44294.4	Artmsmrt
7	4	29	161	5	0.008	1572.77	Artmsmrt
7	4	59	1549	3657	0.4096	31040	Artmsmrt
7	4	89	1225	6345	0.8084	43844.1	Artmsmrt
7	5	29	89	2	0.0048	731.454	Artmsmrt
7	5	59	1576	1603	0.2368	19594.2	Artmsmrt
7	5	89	1252	6323	0.812	44252.7	Artmsmrt
8	1	29	28	1	0.0064	190.477	Astrtrpl
8	1	59	264	34	0.0724	1993.6	Astrtrpl
8	1	89	612	695	0.4404	8774.21	Astrtrpl
8	2	29	25	0	0.0064	183.272	Astrtrpl
8	2	59	265	30	0.072	1835.34	Astrtrpl
8	2	89	640	627	0.4096	8654.96	Astrtrpl
8	3	29	13	1	0.0036	93.5422	Astrtrpl
8	3	59	136	5	0.0324	804.892	Astrtrpl
8	3	89	596	382	0.2892	6689.36	Astrtrpl
8	4	29	26	1	0.0064	185.343	Astrtrpl
8	4	59	276	33	0.0768	1977.14	Astrtrpl
8	4	89	618	705	0.4344	9080.78	Astrtrpl
8	5	29	31	0	0.0064	195.373	Astrtrpl
8	5	59	295	43	0.08	2083.65	Astrtrpl
8	5	89	605	776	0.4524	9500.94	Astrtrpl
9	2	29	1	0	0.0152	345.65	Atrplxpr
9	2	59	1	0	0.0048	172.825	Atrplxpr
9	2	89	1	0	0.0032	86.4125	Atrplxpr
9	3	29	2	0	0.0152	691.3	Atrplxpr
9	3	59	2	0	0.0096	345.65	Atrplxpr
9	3	89	2	0	0.0064	172.825	Atrplxpr
9	4	29	2	0	0.0152	691.3	Atrplxpr
9	5	29	2	0	0.0152	691.3	Atrplxpr
9	5	59	2	0	0.0096	345.65	Atrplxpr
9	5	89	1	0	0.0032	86.4125	Atrplxpr
10	1	29	2	0	0.0104	533.3	Clmgrstc
10	1	59	2	0	0.0064	266.65	Clmgrstc
10	1	89	2	0	0.004	133.325	Clmgrstc
10	2	29	2	0	0.0104	533.3	Clmgrstc
10	2	59	2	0	0.0064	266.65	Clmgrstc
10	2	89	2	0	0.004	133.325	Clmgrstc
10	3	29	2	0	0.0104	533.3	Clmgrstc
10	3	59	1	0	0.0036	133.325	Clmgrstc
10	3	89	1	0	0.002	66.6625	Clmgrstc
10	5	29	2	0	0.0104	533.3	Clmgrstc
10	5	59	2	0	0.0064	266.65	Clmgrstc
10	5	89	1	0	0.004	66.6625	Clmgrstc
11	1	29	2	0	0.0072	432.6	Carexact
11	1	59	2	0	0.0048	216.3	Carexact
11	1	89	2	0	0.0032	108.15	Carexact
11	2	29	2	0	0.0072	432.6	Carexact
11	2	59	2	0	0.0048	216.3	Carexact
11	2	89	1	0	0.0032	54.075	Carexact
11	3	29	2	0	0.0072	432.6	Carexact
11	3	59	2	0	0.0048	216.3	Carexact
11	3	89	1	0	0.0032	54.075	Carexact
11	4	29	1	0	0.0072	216.3	Carexact
11	4	59	1	0	0.0024	108.15	Carexact
11	5	29	2	0	0.0072	432.6	Carexact
11	5	59	2	0	0.0048	216.3	Carexact
11	5	89	2	0	0.0032	108.15	Carexact
12	2	29	2	0	0.0128	749.4	Crxaqtls
12	2	59	2	0	0.008	374.7	Crxaqtls
12	2	89	1	0	0.0056	93.675	Crxaqtls
12	4	29	1	0	0.0128	374.7	Crxaqtls
12	4	59	1	0	0.004	187.35	Crxaqtls
12	4	89	1	0	0.0028	93.675	Crxaqtls
12	5	29	1	0	0.0064	374.7	Crxaqtls
12	5	59	1	0	0.004	187.35	Crxaqtls
12	5	89	1	0	0.0028	93.675	Crxaqtls
13	1	29	2	0	0.0056	139.8	Carexhrt
13	1	59	1	0	0.0032	34.95	Carexhrt
13	1	89	1	0	0.0012	17.475	Carexhrt
13	2	29	1	0	0.0056	69.9	Carexhrt
13	2	59	1	0	0.0016	34.95	Carexhrt
13	2	89	1	0	0.0012	17.475	Carexhrt
13	3	29	1	0	0.0056	69.9	Carexhrt
13	3	59	1	0	0.0016	34.95	Carexhrt
13	3	89	1	0	0.0012	17.475	Carexhrt
13	4	29	2	0	0.0056	139.8	Carexhrt
13	4	59	2	0	0.0032	69.9	Carexhrt
13	4	89	1	0	0.0024	17.475	Carexhrt
13	5	29	2	0	0.0056	139.8	Carexhrt
13	5	59	2	0	0.0032	69.9	Carexhrt
13	5	89	1	0	0.0016	17.475	Carexhrt
14	1	29	20	0	0.0032	70.5061	Carexngr
14	1	59	148	12	0.0336	661.708	Carexngr
14	1	89	690	114	0.1696	3210.54	Carexngr
14	2	29	8	1	0.002	47.4767	Carexngr
14	2	59	57	1	0.0124	242.748	Carexngr
14	2	89	323	45	0.0784	1392.47	Carexngr
14	3	29	17	2	0.0032	59.0049	Carexngr
14	3	59	165	6	0.0284	694.825	Carexngr
14	3	89	762	137	0.19	3634.08	Carexngr
14	4	29	25	0	0.0044	97.1913	Carexngr
14	4	59	172	15	0.0328	688.828	Carexngr
14	4	89	719	156	0.1844	3523.8	Carexngr
14	5	29	25	0	0.004	101.899	Carexngr
14	5	59	208	12	0.0416	864.435	Carexngr
14	5	89	846	194	0.2304	4271.14	Carexngr
15	1	29	436	45	0.0352	15581.9	Crsmarvn
15	1	59	317	4839	0.7696	145274	Crsmarvn
15	1	89	431	5692	0.844933	155279	Crsmarvn
15	2	29	358	36	0.0336	15292.3	Crsmarvn
15	2	59	354	4394	0.7198	157831	Crsmarvn
15	2	89	416	5418	0.8434	143546	Crsmarvn
15	3	29	359	34	0.0348	14498.8	Crsmarvn
15	3	59	325	4580	0.765	154750	Crsmarvn
15	3	89	455	5369	0.826267	140256	Crsmarvn
15	4	29	408	43	0.0352	15737.1	Crsmarvn
15	4	59	341	4568	0.7374	157280	Crsmarvn
15	4	89	404	5868	0.874	148681	Crsmarvn
15	5	29	223	9	0.018	9492.5	Crsmarvn
15	5	59	397	4851	0.7312	160072	Crsmarvn
15	5	89	442	5002	0.798133	155161	Crsmarvn
16	1	29	2	0	0.0032	45.4	Cynsrscr
16	1	59	1	0	0.0012	11.35	Cynsrscr
16	2	29	1	0	0.002	22.7	Cynsrscr
16	2	59	1	0	0.0012	11.35	Cynsrscr
16	3	29	2	0	0.0032	45.4	Cynsrscr
16	3	59	2	0	0.0024	22.7	Cynsrscr
16	3	89	1	0	0.0016	5.675	Cynsrscr
16	4	29	2	0	0.0032	45.4	Cynsrscr
16	4	59	2	0	0.0024	22.7	Cynsrscr
16	4	89	2	0	0.0016	11.35	Cynsrscr
16	5	29	2	0	0.0032	45.4	Cynsrscr
16	5	59	1	0	0.0024	11.35	Cynsrscr
16	5	89	1	0	0.0008	5.675	Cynsrscr
17	1	29	2	0	0.012	323.1	Dctylsgl
17	1	59	1	0	0.004	80.775	Dctylsgl
17	1	89	1	0	0.0024	40.3875	Dctylsgl
17	2	29	2	0	0.012	323.1	Dctylsgl
17	2	59	2	0	0.008	161.55	Dctylsgl
17	2	89	1	0	0.0024	40.3875	Dctylsgl
17	3	29	1	0	0.012	161.55	Dctylsgl
17	3	59	1	0	0.004	80.775	Dctylsgl
17	3	89	1	0	0.0024	40.3875	Dctylsgl
17	4	29	2	0	0.012	323.1	Dctylsgl
17	4	59	1	0	0.004	80.775	Dctylsgl
17	4	89	1	0	0.0024	40.3875	Dctylsgl
17	5	29	1	0	0.012	161.55	Dctylsgl
18	1	29	2	0	0.0248	2257.6	Dschmpsc
18	1	59	2	0	0.016	1128.8	Dschmpsc
18	1	89	1	0	0.0096	282.2	Dschmpsc
18	2	29	2	0	0.0248	2257.6	Dschmpsc
18	2	59	2	0	0.016	1128.8	Dschmpsc
18	2	89	1	0	0.0052	282.2	Dschmpsc
18	3	29	2	0	0.0248	2257.6	Dschmpsc
18	3	59	2	0	0.016	1128.8	Dschmpsc
18	3	89	1	0	0.0096	282.2	Dschmpsc
18	4	29	1	0	0.0124	1128.8	Dschmpsc
18	4	59	1	0	0.008	564.4	Dschmpsc
18	4	89	1	0	0.0048	282.2	Dschmpsc
18	5	29	1	0	0.0128	1128.8	Dschmpsc
19	1	29	2	0	0.016	550	Elymsrpn
19	1	59	2	0	0.0104	275	Elymsrpn
19	1	89	2	0	0.0064	137.5	Elymsrpn
19	2	29	1	0	0.016	275	Elymsrpn
19	3	29	2	0	0.016	550	Elymsrpn
19	3	59	2	0	0.0104	275	Elymsrpn
19	3	89	2	0	0.0064	137.5	Elymsrpn
19	4	29	1	0	0.008	275	Elymsrpn
19	4	59	1	0	0.0052	137.5	Elymsrpn
19	4	89	1	0	0.0032	68.75	Elymsrpn
19	5	29	2	0	0.016	550	Elymsrpn
19	5	59	2	0	0.0104	275	Elymsrpn
19	5	89	2	0	0.0064	137.5	Elymsrpn
20	4	29	49	2	0.01	337.27	Fstcarnd
20	4	59	411	82	0.1696	3595.96	Fstcarnd
20	4	89	450	245	0.3246	7227.68	Fstcarnd
21	1	29	64	4	0.011	1394.49	Festcrbr
21	1	59	953	675	0.313133	10079	Festcrbr
21	1	89	577	2107	0.6962	29346.6	Festcrbr
21	2	29	67	1	0.0135333	747.031	Festcrbr
21	2	59	970	953	0.377633	9502.54	Festcrbr
21	2	89	564	2310	0.7196	35030.7	Festcrbr
21	3	29	5	0	0.0076	66.2304	Festcrbr
21	3	59	428	63	0.0659333	4718.5	Festcrbr
21	3	89	737	2568	0.678	22272.5	Festcrbr
21	4	29	35	0	0.0185333	672.533	Festcrbr
21	4	59	796	327	0.213	7057.74	Festcrbr
21	4	89	607	2806	0.7216	25605.9	Festcrbr
21	5	29	64	2	0.0213333	2186.44	Festcrbr
21	5	59	955	632	0.332867	10738	Festcrbr
21	5	89	537	2373	0.702	33646.2	Festcrbr
22	1	29	1	0	0.0048	91.05	Galimvrm
22	1	59	1	0	0.0016	45.525	Galimvrm
22	1	89	1	0	0.0012	22.7625	Galimvrm
22	2	29	1	0	0.0048	91.05	Galimvrm
22	2	59	1	0	0.0016	45.525	Galimvrm
22	2	89	1	0	0.0012	22.7625	Galimvrm
22	3	29	1	0	0.0024	91.05	Galimvrm
22	3	59	1	0	0.0016	45.525	Galimvrm
22	3	89	1	0	0.0012	22.7625	Galimvrm
22	4	29	2	0	0.0048	182.1	Galimvrm
22	4	59	1	0	0.0016	45.525	Galimvrm
22	4	89	1	0	0.0012	22.7625	Galimvrm
23	1	29	15	2	0.0024	70.342	Glaxmrtm
23	1	59	118	10	0.0168	487.551	Glaxmrtm
23	1	89	644	157	0.108	2571.15	Glaxmrtm
23	2	29	24	0	0.0024	71.9233	Glaxmrtm
23	2	59	138	17	0.022	527.98	Glaxmrtm
23	2	89	622	193	0.1152	2491.1	Glaxmrtm
23	3	29	22	1	0.0024	71.2538	Glaxmrtm
23	3	59	125	19	0.0204	526.998	Glaxmrtm
23	3	89	665	143	0.1076	2671.81	Glaxmrtm
23	4	29	24	1	0.0024	72.1251	Glaxmrtm
23	4	59	154	20	0.0224	569.782	Glaxmrtm
23	4	89	689	230	0.1312	3034.7	Glaxmrtm
23	5	29	9	0	0.0012	35.6431	Glaxmrtm
23	5	59	81	7	0.0108	311.137	Glaxmrtm
23	5	89	408	103	0.0748	1727.72	Glaxmrtm
24	1	29	1	0	0.002	31.2	Glycrflt
24	1	59	1	0	0.0012	15.6	Glycrflt
24	1	89	1	0	0.0008	7.8	Glycrflt
24	2	29	2	0	0.004	62.4	Glycrflt
24	2	59	1	0	0.0012	15.6	Glycrflt
24	2	89	1	0	0.0008	7.8	Glycrflt
24	3	29	2	0	0.004	62.4	Glycrflt
24	3	59	1	0	0.0012	15.6	Glycrflt
24	3	89	1	0	0.0008	7.8	Glycrflt
24	4	29	2	0	0.004	62.4	Glycrflt
24	4	59	2	0	0.0024	31.2	Glycrflt
24	4	89	1	0	0.0008	7.8	Glycrflt
24	5	29	2	0	0.004	62.4	Glycrflt
24	5	59	2	0	0.0024	31.2	Glycrflt
24	5	89	2	0	0.0016	15.6	Glycrflt
25	1	29	382	28	0.0224	3828.22	Hlcslnts
25	1	59	868	5369	0.8368	19212.8	Hlcslnts
25	1	89	879	5686	0.866933	22147	Hlcslnts
25	2	29	437	28	0.0322	4740.04	Hlcslnts
25	2	59	921	5405	0.8199	20181.8	Hlcslnts
25	2	89	889	5597	0.8517	22020.2	Hlcslnts
25	3	29	281	13	0.016	3261.75	Hlcslnts
25	3	59	1004	4771	0.728467	17715.7	Hlcslnts
25	3	89	821	6051	0.8726	21107.5	Hlcslnts
25	4	29	265	19	0.0252	3256.63	Hlcslnts
25	4	59	985	4664	0.744433	16714	Hlcslnts
25	4	89	818	6022	0.8981	21626.9	Hlcslnts
25	5	29	365	27	0.0204	3105.22	Hlcslnts
25	5	59	877	5741	0.835567	18155.9	Hlcslnts
25	5	89	849	5732	0.862933	20726.4	Hlcslnts
26	1	29	1244	309	0.008	711.875	Jncsgrrd
26	1	59	1618	17460	0.5664	13729.2	Jncsgrrd
26	1	89	1205	58427	0.7412	27150.9	Jncsgrrd
26	2	29	1222	301	0.008	705.335	Jncsgrrd
26	2	59	1572	19326	0.5804	14296.6	Jncsgrrd
26	2	89	1210	59202	0.7428	27460	Jncsgrrd
26	3	29	1128	247	0.0088	707.093	Jncsgrrd
26	3	59	1591	19327	0.5644	14924.9	Jncsgrrd
26	3	89	1195	61197	0.7484	28300.9	Jncsgrrd
26	4	29	1142	244	0.0088	707.476	Jncsgrrd
26	4	59	1605	18278	0.5744	13990.3	Jncsgrrd
26	4	89	1200	60281	0.744	27480	Jncsgrrd
26	5	29	729	96	0.004	359.632	Jncsgrrd
26	5	59	1620	17860	0.4548	17371.6	Jncsgrrd
26	5	89	1260	61366	0.8016	26946.4	Jncsgrrd
27	1	29	11	0	0.0028	33.5746	Lntdnatm
27	1	59	70	0	0.0152	187.61	Lntdnatm
27	1	89	302	12	0.0788	826.086	Lntdnatm
27	2	29	18	0	0.0036	42.9054	Lntdnatm
27	2	59	83	1	0.0196	212.985	Lntdnatm
27	2	89	343	12	0.0908	920.578	Lntdnatm
27	3	29	11	0	0.002	26.6918	Lntdnatm
27	3	59	48	1	0.012	125.757	Lntdnatm
27	3	89	203	6	0.0528	546.561	Lntdnatm
27	4	29	15	0	0.0044	40.0338	Lntdnatm
27	4	59	61	0	0.0144	153.131	Lntdnatm
27	4	89	258	7	0.0696	666.999	Lntdnatm
27	5	29	18	0	0.0036	53.2765	Lntdnatm
27	5	59	100	0	0.0248	270.594	Lntdnatm
27	5	89	454	12	0.1216	1188.47	Lntdnatm
28	1	29	9	0	0.0016	74.2153	Lmnmvlgr
28	1	59	64	2	0.0128	538.324	Lmnmvlgr
28	1	89	328	23	0.0776	2719.86	Lmnmvlgr
28	2	29	21	0	0.0044	184.566	Lmnmvlgr
28	2	59	107	4	0.022	902.338	Lmnmvlgr
28	2	89	485	42	0.11	4004.17	Lmnmvlgr
28	3	29	24	0	0.004	183.241	Lmnmvlgr
28	3	59	146	7	0.0328	1190.43	Lmnmvlgr
28	3	89	671	76	0.1684	5545.57	Lmnmvlgr
28	4	29	11	0	0.0024	93.5987	Lmnmvlgr
28	4	59	56	1	0.0124	467.58	Lmnmvlgr
28	4	89	297	7	0.0688	2468.36	Lmnmvlgr
28	5	29	20	0	0.0048	187.492	Lmnmvlgr
28	5	59	108	2	0.0228	877.258	Lmnmvlgr
28	5	89	467	41	0.116	3910.76	Lmnmvlgr
29	1	29	24	1	0.0072	153.989	Lolmprnn
29	1	59	167	1	0.0376	911.051	Lolmprnn
29	1	89	815	46	0.2328	3882.37	Lolmprnn
29	2	29	25	0	0.006	137.062	Lolmprnn
29	2	59	152	1	0.0348	819.441	Lolmprnn
29	2	89	737	18	0.2188	3499.19	Lolmprnn
29	3	29	26	0	0.006	158.364	Lolmprnn
29	3	59	197	1	0.0492	1016.64	Lolmprnn
29	3	89	790	31	0.2424	3708.07	Lolmprnn
29	4	29	33	0	0.0064	183.152	Lolmprnn
29	4	59	210	2	0.0492	1075.64	Lolmprnn
29	4	89	888	35	0.2668	4203.85	Lolmprnn
29	5	29	34	0	0.0064	196.95	Lolmprnn
29	5	59	235	4	0.0532	1227.55	Lolmprnn
29	5	89	913	46	0.28	4227.65	Lolmprnn
30	1	29	2	0	0.0064	115.2	Lychfls-
30	1	59	2	0	0.004	57.6	Lychfls-
30	1	89	2	0	0.0024	28.8	Lychfls-
30	2	29	2	0	0.0064	115.2	Lychfls-
30	2	59	2	0	0.004	57.6	Lychfls-
30	3	29	2	0	0.0064	115.2	Lychfls-
30	3	59	2	0	0.004	57.6	Lychfls-
30	3	89	1	0	0.0012	14.4	Lychfls-
30	4	29	2	0	0.0064	115.2	Lychfls-
30	4	59	2	0	0.004	57.6	Lychfls-
30	4	89	2	0	0.0024	28.8	Lychfls-
30	5	29	1	0	0.0032	57.6	Lychfls-
30	5	59	1	0	0.002	28.8	Lychfls-
30	5	89	1	0	0.0012	14.4	Lychfls-
31	1	29	1	0	0.0144	200	Lycpserp
31	1	59	1	0	0.0088	100	Lycpserp
31	1	89	1	0	0.0056	50	Lycpserp
31	2	29	2	0	0.028	400	Lycpserp
31	2	59	1	0	0.0088	100	Lycpserp
31	2	89	1	0	0.0056	50	Lycpserp
31	3	29	1	0	0.028	200	Lycpserp
31	4	29	2	0	0.028	400	Lycpserp
31	4	59	1	0	0.0088	100	Lycpserp
31	5	29	2	0	0.028	400	Lycpserp
31	5	59	1	0	0.0088	100	Lycpserp
31	5	89	1	0	0.0056	50	Lycpserp
32	1	29	2	0	0.024	1938.6	Phlrsarn
32	1	59	1	0	0.0076	484.65	Phlrsarn
32	1	89	1	0	0.0048	242.325	Phlrsarn
32	2	29	2	0	0.024	1938.6	Phlrsarn
32	2	59	2	0	0.0152	969.3	Phlrsarn
32	2	89	2	0	0.0096	484.65	Phlrsarn
32	3	29	2	0	0.024	1938.6	Phlrsarn
32	3	59	2	0	0.0152	969.3	Phlrsarn
32	3	89	1	0	0.0048	242.325	Phlrsarn
32	4	29	2	0	0.024	1938.6	Phlrsarn
32	4	59	1	0	0.008	484.65	Phlrsarn
32	4	89	1	0	0.0048	242.325	Phlrsarn
32	5	29	1	0	0.012	969.3	Phlrsarn
32	5	59	1	0	0.0076	484.65	Phlrsarn
32	5	89	1	0	0.0048	242.325	Phlrsarn
33	1	29	2	0	0.0088	199.1	Phlmprtn
33	1	59	2	0	0.0056	99.55	Phlmprtn
33	1	89	2	0	0.004	49.775	Phlmprtn
33	2	29	2	0	0.0088	199.1	Phlmprtn
33	2	59	2	0	0.0056	99.55	Phlmprtn
33	2	89	2	0	0.004	49.775	Phlmprtn
33	3	29	2	0	0.0088	199.1	Phlmprtn
33	3	59	1	0	0.0028	49.775	Phlmprtn
33	4	29	2	0	0.0088	199.1	Phlmprtn
33	4	59	2	0	0.0056	99.55	Phlmprtn
33	4	89	1	0	0.002	24.8875	Phlmprtn
33	5	29	2	0	0.0088	199.1	Phlmprtn
33	5	59	2	0	0.0056	99.55	Phlmprtn
33	5	89	2	0	0.004	49.775	Phlmprtn
34	1	29	1978	6695	0.1352	53979.3	Phrgmtsa
34	1	59	453	31652	0.714967	131924	Phrgmtsa
34	1	89	408	42685	0.690067	176279	Phrgmtsa
34	2	29	1997	4788	0.13	26251.3	Phrgmtsa
34	2	59	590	5964	0.491	29411.6	Phrgmtsa
34	2	89	256	34186	0.6604	119143	Phrgmtsa
34	3	29	2133	2931	0.068	27394.9	Phrgmtsa
34	3	59	690	7445	0.544533	25721.7	Phrgmtsa
34	3	89	242	34655	0.66	132362	Phrgmtsa
34	4	29	1994	6702	0.1352	53946.4	Phrgmtsa
34	4	59	468	28491	0.7006	131102	Phrgmtsa
34	4	89	307	42535	0.745033	169454	Phrgmtsa
34	5	29	2143	2881	0.068	26579.4	Phrgmtsa
34	5	59	457	18821	0.6174	80874.1	Phrgmtsa
34	5	89	409	32966	0.6438	111653	Phrgmtsa
35	1	29	1	0	0.0012	11.65	Plntglnc
35	1	59	1	0	0.0008	5.825	Plntglnc
35	1	89	1	0	0.0008	2.9125	Plntglnc
35	2	29	2	0	0.0024	23.3	Plntglnc
35	2	59	1	0	0.0012	5.825	Plntglnc
35	2	89	1	0	0.0008	2.9125	Plntglnc
35	3	29	1	0	0.0012	11.65	Plntglnc
35	3	59	1	0	0.0008	5.825	Plntglnc
35	3	89	1	0	0.0008	2.9125	Plntglnc
35	4	29	1	0	0.0016	11.65	Plntglnc
35	4	59	1	0	0.0008	5.825	Plntglnc
35	4	89	1	0	0.0008	2.9125	Plntglnc
35	5	29	2	0	0.0024	23.3	Plntglnc
35	5	59	1	0	0.0008	5.825	Plntglnc
35	5	89	1	0	0.0008	2.9125	Plntglnc
36	1	29	578	105	0.0374	4919.63	Plntgmjr
36	1	59	826	15798	0.974807	44995	Plntgmjr
36	1	89	865	13535	0.948173	39349.6	Plntgmjr
36	2	29	639	207	0.0339	4515.91	Plntgmjr
36	2	59	856	15912	0.9729	48926.9	Plntgmjr
36	2	89	855	13853	0.96298	43709.1	Plntgmjr
36	3	29	420	65	0.0318	4215.88	Plntgmjr
36	3	59	907	16428	0.940487	46229.5	Plntgmjr
36	3	89	839	13052	0.96444	41157	Plntgmjr
36	4	29	363	67	0.02038	3222.86	Plntgmjr
36	4	59	918	15862	0.91362	44619.4	Plntgmjr
36	4	89	813	14447	0.98138	39922.7	Plntgmjr
36	5	29	604	186	0.0367667	4739.27	Plntgmjr
36	5	59	795	16175	0.9902	44922.7	Plntgmjr
36	5	89	826	13633	0.96912	41808.1	Plntgmjr
37	1	29	45	1	0.0076	389.585	Plntgmrt
37	1	59	286	14	0.0536	2696.08	Plntgmrt
37	1	89	1092	407	0.308	12800.5	Plntgmrt
37	2	29	32	2	0.006	252.977	Plntgmrt
37	2	59	278	16	0.0468	2686.17	Plntgmrt
37	2	89	1063	430	0.3104	13173.8	Plntgmrt
37	3	29	42	1	0.0072	340.484	Plntgmrt
37	3	59	320	27	0.0564	3092.34	Plntgmrt
37	3	89	1096	455	0.3248	12205.5	Plntgmrt
37	4	29	52	1	0.0068	418.242	Plntgmrt
37	4	59	394	32	0.0756	4054.88	Plntgmrt
37	4	89	1251	561	0.3876	14934	Plntgmrt
37	5	29	47	0	0.0076	392.412	Plntgmrt
37	5	59	353	36	0.0632	3631.63	Plntgmrt
37	5	89	1207	498	0.3544	13773.3	Plntgmrt
38	1	29	2	0	0.0024	32.2	Ppratnss
38	1	59	2	0	0.0016	16.1	Ppratnss
38	1	89	2	0	0.0016	8.05	Ppratnss
38	2	29	2	0	0.0024	32.2	Ppratnss
38	2	59	2	0	0.0016	16.1	Ppratnss
38	2	89	2	0	0.0016	8.05	Ppratnss
38	3	29	2	0	0.0024	32.2	Ppratnss
38	3	59	2	0	0.0016	16.1	Ppratnss
38	3	89	2	0	0.0016	8.05	Ppratnss
38	4	29	2	0	0.0024	32.2	Ppratnss
