ID	Species	MaxAge	allocSeed	LMR	m0	maxMass	mSeed.x	dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	SpacerLengthmax	SpacerLengthmax.1	Resshare	allocSpacer	mSpacer	respAnox	salinity
88	Rumxacts	200	0.41245766455603	0.65	0.33	5376.3	0.33	35.65	0.5	60	0.574933333333333	1	2	1	0.25	0.2	1	0.1	8.26	8.26	1	1.15402738919158	83.3333333333333	0	0
103	Slcrnerp	200	4.21192392474496	0.5	0.2	6467.14	0.2	8.25	0.5	20	0.136266666666667	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	9
137	Sprglrmd	200	0.204854368932039	0.5	0.08	526.81	0.08	4	0.5	20	0.339733333333333	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
124	Sprtnang	200	0.00250069463739928	0.5	0.28	3125.62	0.28	34.95	0.5	20	0.2656	0.25	8	1	0.25	0.2	1	1	6.3	6.3	1	0.134311756014145	11.7647058823529	0.5	8
146	Stllrgrm	200	0.031190204635643	0.5	0.17	430.14	0.17	18	0.5	40	0.676533333333333	1	5	1	0.25	0.2	0	0	0	0	0	0	0	0	0
104	Suadmrtm	200	0.845363508912477	0.5	1.09	2923.61	1.09	16.95	0.5	20	0.436533333333333	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
84	Trflmrpn	200	0.525612472160356	0.58	0.5	422.69	0.5	7.5	0.5	46.66	0.715333333333333	0.25	4	1	0.25	0.2	1	0.1	31.61	31.61	1	1.67731629392971	3.97896719510281	0	2
60	Trglchnm	200	1.61179095882522	1	0.715	3215.04	0.715	19.65	0.5	20	0.252533333333333	0.5	8	1	0.25	0.2	1	0.1	7.38	7.38	1	1.94586812553988	51.5873015873016	0.5	8
6	Trxcmoff	200	0.0709709908692137	1	0.94	2772.35	0.94	22.125	0.5	46.66	0.7608	0.25	4	1	0.25	0.2	0	0.1	0	0	0	0	0	0	2
82	Urticdic	200	0.439654920937256	0.5	0.15	14701.31	0.15	41	0.5	60	0.453333333333333	0.25	2	1	0.25	0.2	1	0.1	85.17	85.17	1	0.813910583604944	16.9491525423729	0	0
