ID	Species	AllocSeed	LMR	maxMass	mSeed	Dist	pEstab	Gmax	SLA1	palat	memo	RAR	respAnox	propSex	meanSpacerLength	Resshare	mSpacer	clonal	salinity
107	Fstcarnd	0.1	0.58	3540	2.04	0.62	0.5	60	0.23696682464455	1	2	1	0.5	0.1	1	1	32.3680715337707	1	2
94	Festcrbr	0.1	0.75	3982	0.91	0.26	0.5	60	0.260663507109005	0.25	2	1	0	0.1	1	1	29.4957860518511	1	7
68	Galmaprn	0.2	0.5	29130	9.44	0.48	0.5	60	0.748815165876777	0.5	2	1	0	1	0	0	0	0	0
116	Galimvrm	0.1	0.5	3642	0.5	0.23	0.5	40	0.293838862559242	1	5	1	0	0.1	10	1	36.4177634797136	1	0
100	Glaxmrtm	0.1	0.5	98	0.33	0.08	0.5	20	0.308056872037915	1	8	1	0.5	0.1	10	0	5	1	7
66	Glycrflt	0.1	0.5	1248	1.19	0.05	0.5	40	0.436018957345972	0.5	5	1	0.5	0.1	1	1	17.833217247345	1	0
55	Hlcslnts	0.1	0.62	626	0.4	0.64	0.5	60	0.478672985781991	1	2	1	0	0.1	1	1	9.75412706422815	1	1
4	Jncsgrrd	0.1	0.75	682	0.03	0.33	0.5	20	0.222748815165877	1	8	1	0.5	0.1	10	1	9.09666190792688	1	7
14	Lntdnatm	0.1	1	24	0.8	0.53	0.5	46.66	0.459715639810427	0.25	4	1	0	0.1	1	1	5	1	2
119	Lmnmvlgr	0.1	1	196	1.06	0.23	0.5	20	0.170616113744076	0.25	8	1	0.5	0.1	1	1	5	1	8
3	Lolmprnn	0.15	0.75	44	1.97	0.31	0.5	60	0.42654028436019	0.25	2	1	0	1	1	1	5	1	1
51	Lychfls-	0.1	0.75	2304	0.19	0.29	0.5	46.66	0.383886255924171	0.5	4	1	0.5	0.1	10	1	20.4808253346649	1	0
121	Lycpserp	0.1	0.5	8000	0.23	0.66	0.5	40	1	0.5	5	1	0.5	0.1	10	0	61.5384615384615	1	0
87	Phlrsarn	0.1	0.5	38772	0.65	1	0.5	60	0.298578199052133	0.5	2	1	0.5	0.1	10	1	176.237684987541	1	0
90	Phlmprtn	0.1	0.75	3982	0.58	0.05	0.5	60	0.360189573459716	1	2	1	0	0.1	1	1	29.4957860518511	1	0
1	Phrgmtsa	0.1	0.5	233046	0.13	23.26	0.5	40	0.255924170616114	0.5	5	1	0.5	0.1	25	1	250	1	1
108	Plntglnc	0.1	1	466	1.61	0.37	0.5	46.66	0.327014218009479	1	4	1	0	0.1	1	1	5.82537548785689	1	0
91	Plntgmjr	0.1	1	1574	0.26	0.15	0.5	46.66	0.327014218009479	0.25	4	1	0	0.1	1	1	13.1140388201454	1	1
101	Plntgmrt	0.1	1	466	0.75	0.17	0.5	20	0.18957345971564	1	8	1	0.5	0.1	1	1	5.82537548785689	1	7
5	Ppratnss	0.1	0.66	644	0.27	0.43	0.5	60	0.383886255924171	0.25	2	1	0	0.1	10	1	9.53442706271976	1	0
109	Plygnmam	0.1	0.5	1536	4.18	0.05	0.5	40	0.265402843601896	0.5	5	1	0.5	0.1	25	1	20.4808253346649	1	0
95	Ptntllan	0.1	1	910	0.89	0.2	0.5	46.66	0.350710900473934	0.25	4	1	0	0.1	1	1	9.10110743615373	1	1
102	Pccnllmr	0.1	0.75	148	0.76	0.05	0.5	20	0.322274881516588	1	8	1	0.5	0.1	1	1	5	1	8
54	Rnnclsrp	0.1	0.75	1180	2.24	0.22	0.5	46.66	0.364928909952607	0.25	4	1	0	0.1	10	1	13.1103355970097	1	1
88	Rumxacts	0.1	0.65	5098	0.94	0.48	0.5	60	0.355450236966825	1	2	1	0	0.1	1	1	38.2581790993925	1	0
80	Rmxcrsps	0.1	0.66	17410	2.32	61.4	0.5	60	0.208530805687204	0.25	2	1	0	0.1	0	0	0	0	0
103	Slcrnerp	0.2	0.5	98	0.54	0.13	0.5	20	0.04739336492891	0.5	8	1	0.5	1	0	0	0	0	9
2	Blbschnm	0.1	0.75	5462	3.11	0.27	0.5	40	0.194312796208531	0.5	5	1	0.5	0.1	25	1	36.4133191726036	1	6
132	Sncaqtcs	0.15	0.75	682	0.37	0.82	0.5	46.66	0.398104265402844	0.25	4	1	0.5	0.1	10	1	9.09666190792688	1	0
124	Sprtnang	0.1	0.5	3642	10.99	0.47	0.5	20	0.14218009478673	0.25	8	1	0.5	0.1	1	1	36.4177634797136	1	8
104	Suadmrtm	0.2	0.5	156	0.79	0.11	0.5	20	0.199052132701422	0.5	8	1	0.5	1	0	0	0	0	8
6	Trxcmoff	0.15	1	312	0.63	0.76	0.5	46.66	0.464454976303318	0.25	4	1	0	0.1	0	0	0	0	2
84	Trflmrpn	0.1	0.58	606	0.59	0.14	0.5	46.66	0.445497630331754	0.25	4	1	0	0.1	25	1	9.97921547052673	1	2
60	Trglchnm	0.1	1	466	0.58	0.34	0.5	20	0.180094786729858	0.5	8	1	0.5	0.1	1	1	5.82537548785689	1	8
82	Urticdic	0.1	0.5	21236	0.17	0.61	0.5	60	0.450236966824645	0.25	2	1	0	0.1	10	1	117.978205969551	1	0
